#IAU names		IVS names		SNR		SNR		KT-KU		KT-KY		KU-KY		KT-KU		KT-KY		KU-KY		Obscode		New detection	
#[J1950]		-		KT		KU		[kλ]		[kλ]		[kλ]		[Jy]		[Jy]		[Jy]		-		Y/N	
0114+140	 	0114+140	 	91.6	 	82.5	 	-1	 	35598.047	 	-1	 	-1	 	0.193	 	-1	 	s14jl01a	 	Y	  
0119+296	 	0119+296	 	95.3	 	91.9	 	22133.358	 	35824.884	 	21357.837	 	0.148	 	0.168	 	0.189	 	s14jl01c	 	Y	  
0119+296	 	0119+296	 	79.6	 	-1	 	-1	 	35318.662	 	-1	 	-1	 	0.188	 	-1	 	s14jl01a	 	Y	  
0119+296	 	0119+296	 	92.1	 	98.6	 	25202.672	 	36388.358	 	21746.415	 	-1	 	0.195	 	-1	 	s14jl01c	 	Y	  
0119+296	 	0119+296	 	103.7	 	108.5	 	24981.978	 	36446.488	 	19683.373	 	0.263	 	0.244	 	-1	 	s14jl01d	 	Y	  
0119+296	 	0119+296	 	101.2	 	100.7	 	25624.998	 	36423.885	 	21910.318	 	0.172	 	0.245	 	0.189	 	s14jl01d	 	Y	  
0119+296	 	0119+296	 	86.8	 	-1	 	-1	 	36217.88	 	-1	 	-1	 	0.251	 	-1	 	s14jl01a	 	Y	  
0130-171	 	0130-171	 	142.3	 	159.6	 	27245.551	 	31319.975	 	8134.532	 	0.4	 	0.424	 	0.609	 	s14jl01c	 	Y	  
0130-171	 	0130-171	 	140.1	 	146.1	 	27298.043	 	28113.091	 	11103.641	 	-1	 	0.449	 	-1	 	s14jl01c	 	Y	  
0130-171	 	0130-171	 	174.3	 	177.7	 	25484.14	 	24272.716	 	15925.406	 	0.545	 	0.719	 	0.782	 	s14jl01d	 	Y	  
0130-171	 	0130-171	 	157.1	 	-1	 	-1	 	23007.18	 	-1	 	-1	 	0.815	 	-1	 	s14jl01a	 	Y	  
0130-171	 	0130-171	 	187.1	 	188.4	 	27145.005	 	27422.502	 	11889.643	 	0.875	 	-1	 	0.878	 	s14jl01d	 	Y	  
0137-158	 	0137-158	 	98.2	 	99.4	 	27303.395	 	28402.231	 	11658.55	 	0.248	 	0.239	 	-1	 	s14jl01d	 	Y	  
0137-158	 	0137-158	 	98.8	 	97.4	 	25939.665	 	25271.924	 	15588.49	 	-1	 	0.239	 	-1	 	s14jl01d	 	Y	  
0137-158	 	0137-158	 	83.3	 	-1	 	-1	 	24690.732	 	-1	 	-1	 	0.243	 	-1	 	s14jl01a	 	Y	  
0137-158	 	0137-158	 	78.5	 	-1	 	-1	 	23112.619	 	-1	 	-1	 	-1	 	-1	 	s14jl01a	 	Y	  
0148+274	 	0148+274	 	104.5	 	117.5	 	25683.107	 	36253.641	 	22627.505	 	0.237	 	0.237	 	0.289	 	s14jl01d	 	Y	  
0148+274	 	0148+274	 	80.2	 	-1	 	-1	 	36133.942	 	-1	 	-1	 	0.267	 	-1	 	s14jl01a	 	Y	  
0148+274	 	0148+274	 	117	 	122.4	 	24759.034	 	36438.406	 	20895.588	 	-1	 	0.271	 	-1	 	s14jl01d	 	Y	  
0148+274	 	0148+274	 	89.4	 	-1	 	-1	 	36142.25	 	-1	 	-1	 	0.312	 	-1	 	s14jl01a	 	Y	  
0201+113	 	0201+113	 	91.1	 	97.8	 	20009.676	 	35842.339	 	19986.228	 	0.227	 	0.167	 	0.198	 	s14jl01d	 	N	  
0201+113	 	0201+113	 	90.7	 	87.3	 	20630.869	 	34820.718	 	22179.817	 	0.214	 	0.19	 	0.182	 	s14jl01d	 	N	  
0201+113	 	0201+113	 	80	 	-1	 	-1	 	33310.434	 	-1	 	-1	 	0.264	 	-1	 	s14jl01a	 	N	  
0201+113	 	0201+113	 	81.1	 	-1	 	-1	 	33448.511	 	-1	 	-1	 	0.289	 	-1	 	s14jl01a	 	N	  
0201+438	 	0201+438	 	-1	 	64.9	 	27382.031	 	-1	 	22168.411	 	0.086	 	-1	 	0.103	 	s14jl01d	 	Y	  
0201+438	 	0201+438	 	63.3	 	-1	 	27149.664	 	35752.43	 	-1	 	-1	 	0.072	 	-1	 	s14jl01d	 	Y	  
0206+136	 	0206+136	 	143.2	 	143.5	 	26469.477	 	33937.543	 	22513.552	 	0.436	 	0.425	 	0.411	 	s14jl01d	 	Y	  
0206+136	 	0206+136	 	141.8	 	141.2	 	24599.853	 	33923.592	 	23302.889	 	-1	 	0.445	 	-1	 	s14jl01d	 	Y	  
0206+136	 	0206+136	 	117.5	 	-1	 	-1	 	33984.54	 	-1	 	-1	 	0.534	 	-1	 	s14jl01a	 	Y	  
0206+136	 	0206+136	 	119.5	 	-1	 	-1	 	33881.598	 	-1	 	-1	 	0.571	 	-1	 	s14jl01a	 	Y	  
0208+106	 	0208+106	 	240.7	 	233.9	 	26090.922	 	33172.982	 	22362.223	 	-1	 	0.654	 	-1	 	s14jl01d	 	Y	  
0208+106	 	0208+106	 	235.3	 	229.8	 	23944.291	 	33200.715	 	23272.697	 	-1	 	1.171	 	-1	 	s14jl01d	 	Y	  
0208+106	 	0208+106	 	186.1	 	-1	 	-1	 	33306.645	 	-1	 	-1	 	1.299	 	-1	 	s14jl01a	 	Y	  
0208+106	 	0208+106	 	194.6	 	85.3	 	-1	 	33105.375	 	-1	 	-1	 	1.377	 	-1	 	s14jl01a	 	Y	  
0210+181	 	0210+181	 	98	 	94.8	 	22097.962	 	36210.257	 	20048.878	 	0.235	 	0.174	 	0.147	 	s14jl01d	 	Y	  
0210+181	 	0210+181	 	101.1	 	101.8	 	22921.476	 	35593.444	 	22216.682	 	0.244	 	0.226	 	0.225	 	s14jl01d	 	Y	  
0210+181	 	0210+181	 	78.9	 	-1	 	-1	 	34897.448	 	-1	 	-1	 	0.264	 	-1	 	s14jl01a	 	Y	  
0210+181	 	0210+181	 	82.9	 	-1	 	-1	 	34850.743	 	-1	 	-1	 	0.281	 	-1	 	s14jl01a	 	Y	  
0214+083	 	0214+083	 	148.7	 	150	 	19006.628	 	35306.976	 	20759.858	 	0.571	 	0.493	 	0.462	 	s14jl01d	 	Y	  
0214+083	 	0214+083	 	159.4	 	155.2	 	19984.22	 	34043.306	 	-1	 	0.285	 	0.5	 	-1	 	s14jl01d	 	Y	  
0214+083	 	0214+083	 	129.4	 	-1	 	-1	 	32472.141	 	-1	 	-1	 	0.533	 	-1	 	s14jl01a	 	Y	  
0214+083	 	0214+083	 	132.5	 	-1	 	-1	 	32740.119	 	-1	 	-1	 	0.647	 	-1	 	s14jl01a	 	Y	  
0217-189	 	0217-189	 	88.8	 	82.6	 	27420.121	 	29794.846	 	8250.298	 	0.152	 	0.231	 	0.107	 	s14jl01c	 	Y	  
0217-189	 	0217-189	 	102.2	 	91.5	 	26934.88	 	26327.466	 	11964.451	 	0.185	 	0.274	 	0.2	 	s14jl01c	 	Y	  
0217-189	 	0217-189	 	104.4	 	112	 	26804.867	 	25969.154	 	12400.952	 	0.325	 	0.275	 	-1	 	s14jl01d	 	Y	  
0217-189	 	0217-189	 	106.3	 	109.6	 	27430.373	 	29510.61	 	8505.611	 	0.346	 	0.329	 	-1	 	s14jl01d	 	Y	  
0223+341	 	0223+341	 	94.9	 	104.9	 	21969.728	 	35404.14	 	22030.057	 	0.122	 	0.199	 	0.123	 	s14jl01c	 	Y	  
0223+341	 	0223+341	 	106.9	 	126.4	 	26173.762	 	36442.378	 	21308.797	 	0.239	 	0.219	 	0.317	 	s14jl01d	 	Y	  
0223+341	 	0223+341	 	116.6	 	127.8	 	26855.12	 	36462.882	 	22761.696	 	0.312	 	0.258	 	0.311	 	s14jl01d	 	Y	  
0223+341	 	0223+341	 	102.3	 	98.8	 	17703.429	 	33852.258	 	22130.618	 	0.253	 	0.273	 	0.216	 	s14jl01c	 	Y	  
0223+341	 	0223+341	 	100.6	 	-1	 	-1	 	34435.493	 	-1	 	-1	 	0.322	 	-1	 	s14jl01a	 	Y	  
0238-084	 	NGC1052	 	177.2	 	235.3	 	26234.792	 	34225.941	 	10959.708	 	-1	 	0.494	 	-1	 	s14jl01d	 	Y	  
0238-084	 	NGC1052	 	182.5	 	167.3	 	-1	 	30324.461	 	-1	 	-1	 	0.86	 	-1	 	s14jl01a	 	Y	  
0238-084	 	NGC1052	 	272.7	 	255.8	 	13385.108	 	30014.36	 	23112.667	 	1.451	 	1.367	 	1.27	 	s14jl01d	 	Y	  
0238-084	 	NGC1052	 	208.2	 	79.5	 	-1	 	27605.899	 	-1	 	-1	 	1.617	 	-1	 	s14jl01a	 	Y	  
0240-060	 	0240-060	 	112	 	113.2	 	13499.263	 	32977.844	 	21803.729	 	0.208	 	-1	 	0.121	 	s14jl01d	 	Y	  
0240-060	 	0240-060	 	129.5	 	132.6	 	14491.202	 	30600.672	 	23078.03	 	-1	 	0.292	 	-1	 	s14jl01d	 	Y	  
0240-060	 	0240-060	 	98.7	 	-1	 	-1	 	28556.111	 	-1	 	-1	 	0.375	 	-1	 	s14jl01a	 	Y	  
0240-060	 	0240-060	 	118.8	 	93.8	 	-1	 	31568.763	 	-1	 	-1	 	0.396	 	-1	 	s14jl01a	 	Y	  
0242+131	 	0242+131	 	97.2	 	97.4	 	22018.024	 	34587.983	 	22834.869	 	0.218	 	0.137	 	0.134	 	s14jl01d	 	Y	  
0242+131	 	0242+131	 	95.6	 	94.5	 	20716.328	 	35541.298	 	21168.27	 	-1	 	0.167	 	-1	 	s14jl01d	 	Y	  
0242+131	 	0242+131	 	83.5	 	-1	 	-1	 	33712.892	 	-1	 	-1	 	0.263	 	-1	 	s14jl01a	 	Y	  
